Key,SourceUIC,TargetUIC,Weight
100-101,100,101,0.02
100-102,100,102,0.06
100-103,100,103,0.1
100-104,100,104,0.06
100-105,100,105,0.05
100-106,100,106,0.05
100-107,100,107,0.06
100-108,100,108,0.07
100-109,100,109,0.06
100-110,100,110,0.14
100-117,100,117,0.07
100-119,100,119,0.02
100-122,100,122,0.07
100-124,100,124,0.06
100-125,100,125,0.06
100-148,100,148,0.06
100-150,100,150,0.13
100-156,100,156,0.07
100-203,100,203,0.05
100-245,100,245,0.07
100-246,100,246,0.07
100-288,100,288,0.06
100-302,100,302,0.12
100-304,100,304,0.07
100-311,100,311,0.07
100-342,100,342,0.07
100-369,100,369,0.05
100-391,100,391,0.07
100-393,100,393,0.05
100-398,100,398,0.06
100-400,100,400,0.11
100-426,100,426,0.02
100-440,100,440,0.03
100-448,100,448,0.07
100-485,100,485,0.05
100-50004,100,50004,0.05
100-50006,100,50006,0.05
100-50007,100,50007,0.03
100-50009,100,50009,0.07
100-50010,100,50010,0.05
100-524,100,524,0.07
100-525,100,525,0.13
100-53014,100,53014,0.07
100-53024,100,53024,0.05
100-53026,100,53026,0.06
100-53037,100,53037,0.06
100-53056,100,53056,0.07
100-53067,100,53067,0.05
100-53068,100,53068,0.12
100-53084,100,53084,0.06
100-53193,100,53193,0.1
100-577,100,577,0.06
100-578,100,578,0.06
100-644,100,644,0.05
100-777,100,777,0.02
100-779,100,779,0.05
100-831,100,831,0.07
100-832,100,832,0.07
100-842,100,842,0.06
100-844,100,844,0.05
101-102,101,102,0.06
101-103,101,103,0.11
101-104,101,104,0.06
101-105,101,105,0.02
101-106,101,106,0.09
101-107,101,107,0.1
101-108,101,108,0.03
101-109,101,109,0.03
101-110,101,110,0.05
101-111,101,111,0.03
101-113,101,113,0.03
101-115,101,115,0.03
101-116,101,116,0.03
101-117,101,117,0.03
101-122,101,122,0.03
101-123,101,123,0.03
101-124,101,124,0.06
101-125,101,125,0.05
101-126,101,126,0.03
101-146,101,146,0.02
101-148,101,148,0.06
101-149,101,149,0.03
101-150,101,150,0.03
101-153,101,153,0.03
101-171,101,171,0.06
101-172,101,172,0.03
101-173,101,173,0.03
101-203,101,203,0.05
101-204,101,204,0.05
101-217,101,217,0.04
101-230,101,230,0.03
101-232,101,232,0.03
101-233,101,233,0.03
101-235,101,235,0.03
101-242,101,242,0.02
101-245,101,245,0.02
101-246,101,246,0.41
101-247,101,247,0.03
101-248,101,248,0.06
101-269,101,269,0.03
101-273,101,273,0.03
101-283,101,283,0.03
101-284,101,284,0.03
101-288,101,288,0.06
101-298,101,298,0.02
101-302,101,302,0.03
101-303,101,303,0.03
101-305,101,305,0.03
101-308,101,308,0.03
101-315,101,315,0.03
101-316,101,316,0.05
101-325,101,325,0.05
101-326,101,326,0.02
101-330,101,330,0.01
101-335,101,335,0.32
101-342,101,342,0.03
101-343,101,343,0.03
101-344,101,344,0.01
101-364,101,364,0.06
101-365,101,365,0.02
