Key,SourceUIC,TargetUIC
100-101,100,101
100-102,100,102
100-105,100,105
100-106,100,106
100-108,100,108
100-109,100,109
100-110,100,110
100-112,100,112
100-118,100,118
100-119,100,119
100-122,100,122
100-130,100,130
100-132,100,132
100-133,100,133
100-143,100,143
100-145,100,145
100-146,100,146
100-148,100,148
100-151,100,151
100-154,100,154
100-157,100,157
100-158,100,158
100-167,100,167
100-174,100,174
100-178,100,178
100-180,100,180
100-186,100,186
100-199,100,199
100-201,100,201
100-203,100,203
100-206,100,206
100-208,100,208
100-220,100,220
100-223,100,223
100-224,100,224
100-225,100,225
100-245,100,245
100-249,100,249
100-257,100,257
100-263,100,263
100-276,100,276
100-288,100,288
100-290,100,290
100-294,100,294
100-296,100,296
100-302,100,302
100-315,100,315
100-330,100,330
100-344,100,344
100-347,100,347
100-364,100,364
100-391,100,391
100-398,100,398
100-402,100,402
100-407,100,407
100-411,100,411
100-414,100,414
100-417,100,417
100-423,100,423
100-424,100,424
100-425,100,425
100-427,100,427
100-431,100,431
100-435,100,435
100-437,100,437
100-445,100,445
100-450,100,450
100-456,100,456
100-461,100,461
100-465,100,465
100-466,100,466
100-470,100,470
100-475,100,475
100-478,100,478
100-485,100,485
100-490,100,490
100-496,100,496
100-501,100,501
100-504,100,504
100-515,100,515
100-516,100,516
100-517,100,517
100-518,100,518
100-519,100,519
100-520,100,520
100-524,100,524
100-526,100,526
100-53014,100,53014
100-53015,100,53015
100-53025,100,53025
100-53027,100,53027
100-53032,100,53032
100-53036,100,53036
100-53044,100,53044
100-53054,100,53054
100-53068,100,53068
100-53078,100,53078
100-53079,100,53079
100-53104,100,53104
100-53108,100,53108
100-53143,100,53143
100-53146,100,53146
100-53150,100,53150
100-53271,100,53271
100-53276,100,53276
100-53280,100,53280
100-53282,100,53282
100-537,100,537
100-550,100,550
100-551,100,551
100-552,100,552
100-553,100,553
100-554,100,554
100-555,100,555
100-556,100,556
100-559,100,559
100-563,100,563
100-564,100,564
100-566,100,566
100-574,100,574
100-575,100,575
100-576,100,576
100-578,100,578
100-587,100,587
100-592,100,592
100-628,100,628
100-669,100,669
100-670,100,670
100-679,100,679
100-700,100,700
100-702,100,702
100-703,100,703
100-704,100,704
100-705,100,705
100-706,100,706
100-728,100,728
100-733,100,733
100-735,100,735
100-736,100,736
100-737,100,737
100-741,100,741
100-742,100,742
100-743,100,743
100-744,100,744
100-772,100,772
100-773,100,773
100-774,100,774
100-778,100,778
100-800,100,800
100-802,100,802
100-818,100,818
100-819,100,819
100-828,100,828
100-831,100,831
101-102,101,102
101-105,101,105
101-106,101,106
101-108,101,108
101-112,101,112
101-119,101,119
101-122,101,122
101-124,101,124
101-125,101,125
101-132,101,132
101-143,101,143
101-145,101,145
101-148,101,148
101-150,101,150
