Key,SourceUIC,TargetUIC
100-101,100,101
100-103,100,103
100-105,100,105
100-106,100,106
100-108,100,108
100-143,100,143
100-145,100,145
100-148,100,148
100-173,100,173
100-242,100,242
100-288,100,288
100-315,100,315
100-325,100,325
100-335,100,335
100-344,100,344
100-364,100,364
100-369,100,369
100-402,100,402
100-425,100,425
100-472,100,472
100-482,100,482
100-483,100,483
100-484,100,484
100-487,100,487
100-488,100,488
100-50006,100,50006
100-50007,100,50007
100-505,100,505
100-519,100,519
100-525,100,525
100-53027,100,53027
100-53035,100,53035
100-53041,100,53041
100-53069,100,53069
100-53084,100,53084
100-53085,100,53085
100-53178,100,53178
100-53193,100,53193
100-53237,100,53237
100-556,100,556
100-574,100,574
100-575,100,575
100-576,100,576
100-582,100,582
100-608,100,608
100-651,100,651
100-671,100,671
100-673,100,673
100-680,100,680
100-737,100,737
100-743,100,743
100-752,100,752
100-753,100,753
100-754,100,754
100-757,100,757
100-772,100,772
100-773,100,773
100-776,100,776
100-819,100,819
100-821,100,821
100-825,100,825
100-831,100,831
100-842,100,842
100-846,100,846
101-102,101,102
101-103,101,103
101-106,101,106
101-107,101,107
101-108,101,108
101-122,101,122
101-143,101,143
101-145,101,145
101-203,101,203
101-217,101,217
101-245,101,245
101-316,101,316
101-354,101,354
101-382,101,382
101-398,101,398
101-426,101,426
101-428,101,428
101-429,101,429
101-430,101,430
101-443,101,443
101-473,101,473
101-484,101,484
101-487,101,487
101-488,101,488
101-50002,101,50002
101-519,101,519
101-53024,101,53024
101-53025,101,53025
101-53036,101,53036
101-53086,101,53086
101-53193,101,53193
101-53298,101,53298
101-644,101,644
101-651,101,651
101-681,101,681
101-831,101,831
102-103,102,103
102-104,102,104
102-107,102,107
102-143,102,143
102-145,102,145
102-171,102,171
102-246,102,246
102-335,102,335
102-364,102,364
102-430,102,430
102-50002,102,50002
102-50006,102,50006
102-519,102,519
102-53111,102,53111
102-53200,102,53200
102-53285,102,53285
102-53297,102,53297
102-53298,102,53298
102-583,102,583
102-772,102,772
102-773,102,773
102-831,102,831
102-844,102,844
103-105,103,105
103-143,103,143
103-145,103,145
103-364,103,364
103-519,103,519
103-772,103,772
103-773,103,773
103-831,103,831
104-143,104,143
104-145,104,145
104-172,104,172
104-519,104,519
104-528,104,528
104-53013,104,53013
104-831,104,831
105-106,105,106
105-110,105,110
105-117,105,117
105-122,105,122
105-143,105,143
105-145,105,145
105-156,105,156
105-304,105,304
105-311,105,311
105-387,105,387
105-391,105,391
105-393,105,393
105-400,105,400
105-448,105,448
105-50006,105,50006
105-50007,105,50007
105-50010,105,50010
105-519,105,519
105-53025,105,53025
105-53036,105,53036
105-53056,105,53056
105-53067,105,53067
105-53193,105,53193
105-777,105,777
105-831,105,831
106-107,106,107
106-116,106,116
106-143,106,143
106-145,106,145
106-245,106,245
106-364,106,364
106-391,106,391
106-394,106,394
106-430,106,430
106-519,106,519
106-527,106,527
106-53057,106,53057
106-53067,106,53067
106-53298,106,53298
106-757,106,757
106-772,106,772
106-773,106,773
106-831,106,831
107-108,107,108
107-115,107,115
107-143,107,143
107-145,107,145
107-342,107,342
107-364,107,364
107-395,107,395
107-519,107,519
107-529,107,529
107-53058,107,53058
107-53067,107,53067
107-772,107,772
107-773,107,773
107-831,107,831
108-143,108,143
108-145,108,145
108-246,108,246
108-335,108,335
108-364,108,364
108-430,108,430
108-519,108,519
108-53297,108,53297
108-53298,108,53298
108-772,108,772
108-773,108,773
108-831,108,831
109-113,109,113
109-143,109,143
109-145,109,145
109-325,109,325
109-447,109,447
109-50006,109,50006
109-519,109,519
109-53035,109,53035
109-53237,109,53237
109-574,109,574
109-575,109,575
109-576,109,576
109-831,109,831
110-111,110,111
110-143,110,143
110-145,110,145
110-148,110,148
110-150,110,150
110-245,110,245
110-302,110,302
110-398,110,398
110-50006,110,50006
110-50007,110,50007
110-519,110,519
110-53027,110,53027
110-535,110,535
110-831,110,831
111-112,111,112
111-445,111,445
112-113,112,113
112-115,112,115
112-116,112,116
112-117,112,117
112-123,112,123
112-126,112,126
112-135,112,135
112-143,112,143
112-145,112,145
112-149,112,149
112-171,112,171
112-172,112,172
112-204,112,204
112-220,112,220
112-223,112,223
112-224,112,224
112-225,112,225
112-230,112,230
112-232,112,232
112-233,112,233
112-235,112,235
112-247,112,247
112-248,112,248
112-269,112,269
112-273,112,273
112-276,112,276
112-283,112,283
112-284,112,284
112-303,112,303
112-314,112,314
112-343,112,343
112-389,112,389
112-393,112,393
112-399,112,399
112-431,112,431
112-433,112,433
112-446,112,446
112-447,112,447
112-448,112,448
112-449,112,449
112-456,112,456
112-458,112,458
112-474,112,474
112-515,112,515
112-519,112,519
112-527,112,527
112-528,112,528
112-529,112,529
112-530,112,530
112-53019,112,53019
112-53023,112,53023
112-53048,112,53048
112-53081,112,53081
112-531,112,531
112-53104,112,53104
112-532,112,532
112-53210,112,53210
112-53213,112,53213
112-53214,112,53214
112-53215,112,53215
112-53216,112,53216
112-53217,112,53217
112-53218,112,53218
112-533,112,533
112-534,112,534
112-535,112,535
112-548,112,548
112-549,112,549
112-550,112,550
112-557,112,557
112-669,112,669
112-673,112,673
112-681,112,681
112-711,112,711
112-713,112,713
112-775,112,775
112-778,112,778
112-805,112,805
112-811,112,811
112-813,112,813
112-815,112,815
112-817,112,817
112-843,112,843
112-845,112,845
113-445,113,445
115-430,115,430
115-445,115,445
115-53298,115,53298
116-445,116,445
117-445,117,445
118-119,118,119
118-120,118,120
118-121,118,121
118-143,118,143
118-145,118,145
118-156,118,156
118-157,118,157
118-170,118,170
118-180,118,180
118-186,118,186
118-206,118,206
118-220,118,220
118-222,118,222
118-223,118,223
118-224,118,224
118-225,118,225
118-226,118,226
118-257,118,257
118-259,118,259
118-263,118,263
118-276,118,276
118-282,118,282
118-290,118,290
118-294,118,294
118-296,118,296
118-325,118,325
118-344,118,344
118-346,118,346
118-348,118,348
118-367,118,367
118-393,118,393
118-401,118,401
118-402,118,402
118-403,118,403
118-407,118,407
118-411,118,411
118-414,118,414
118-417,118,417
118-431,118,431
118-439,118,439
118-441,118,441
118-450,118,450
118-451,118,451
118-456,118,456
118-470,118,470
118-485,118,485
118-486,118,486
118-496,118,496
118-498,118,498
118-500,118,500
118-501,118,501
118-506,118,506
118-510,118,510
118-512,118,512
118-515,118,515
118-516,118,516
118-518,118,518
118-519,118,519
118-520,118,520
118-53015,118,53015
118-53030,118,53030
118-53032,118,53032
118-53035,118,53035
118-53039,118,53039
118-53044,118,53044
118-53049,118,53049
118-53053,118,53053
118-53054,118,53054
118-53055,118,53055
118-53101,118,53101
118-53104,118,53104
118-53106,118,53106
118-53107,118,53107
118-53108,118,53108
118-53110,118,53110
118-53143,118,53143
118-53146,118,53146
118-53150,118,53150
118-53158,118,53158
118-53181,118,53181
118-53237,118,53237
118-53271,118,53271
118-53276,118,53276
118-53280,118,53280
118-53282,118,53282
118-53283,118,53283
118-53284,118,53284
118-53307,118,53307
118-536,118,536
118-537,118,537
118-550,118,550
118-551,118,551
118-552,118,552
118-553,118,553
118-555,118,555
118-556,118,556
118-563,118,563
118-564,118,564
118-566,118,566
118-573,118,573
118-574,118,574
118-575,118,575
118-576,118,576
118-578,118,578
118-582,118,582
118-584,118,584
118-589,118,589
118-592,118,592
118-595,118,595
118-596,118,596
118-597,118,597
118-598,118,598
118-601,118,601
118-602,118,602
118-603,118,603
118-604,118,604
118-605,118,605
118-606,118,606
118-607,118,607
118-608,118,608
118-613,118,613
118-614,118,614
118-620,118,620
118-628,118,628
118-631,118,631
118-634,118,634
118-636,118,636
118-637,118,637
118-639,118,639
118-641,118,641
118-643,118,643
118-663,118,663
118-669,118,669
118-676,118,676
118-694,118,694
118-695,118,695
118-696,118,696
118-700,118,700
118-708,118,708
118-709,118,709
118-710,118,710
118-714,118,714
118-715,118,715
118-716,118,716
118-718,118,718
118-719,118,719
118-721,118,721
118-722,118,722
118-727,118,727
118-728,118,728
118-737,118,737
118-743,118,743
118-756,118,756
118-757,118,757
118-778,118,778
118-791,118,791
118-820,118,820
118-822,118,822
118-823,118,823
118-849,118,849
118-851,118,851
118-852,118,852
119-120,119,120
119-121,119,121
119-143,119,143
119-145,119,145
119-151,119,151
119-243,119,243
119-304,119,304
119-305,119,305
119-306,119,306
119-307,119,307
119-308,119,308
119-309,119,309
119-310,119,310
119-311,119,311
119-312,119,312
119-313,119,313
119-344,119,344
119-348,119,348
119-351,119,351
119-367,119,367
119-393,119,393
119-402,119,402
119-403,119,403
119-475,119,475
119-482,119,482
119-483,119,483
119-484,119,484
119-496,119,496
119-50006,119,50006
119-50007,119,50007
119-506,119,506
119-519,119,519
119-52001,119,52001
119-53013,119,53013
119-53020,119,53020
119-53108,119,53108
119-53240,119,53240
119-53282,119,53282
119-556,119,556
119-563,119,563
119-578,119,578
119-639,119,639
119-737,119,737
119-743,119,743
119-834,119,834
120-143,120,143
120-145,120,145
120-485,120,485
120-496,120,496
120-519,120,519
120-53108,120,53108
120-53282,120,53282
120-563,120,563
121-143,121,143
121-145,121,145
121-485,121,485
121-496,121,496
121-519,121,519
121-53108,121,53108
121-53282,121,53282
121-563,121,563
122-123,122,123
122-124,122,124
122-125,122,125
122-143,122,143
122-145,122,145
122-148,122,148
122-150,122,150
122-220,122,220
122-223,122,223
122-224,122,224
122-225,122,225
122-245,122,245
122-276,122,276
122-302,122,302
122-347,122,347
122-364,122,364
122-391,122,391
122-414,122,414
122-431,122,431
122-456,122,456
122-515,122,515
122-519,122,519
122-53015,122,53015
122-53016,122,53016
122-53017,122,53017
122-53021,122,53021
122-53023,122,53023
122-53026,122,53026
122-53027,122,53027
122-53036,122,53036
122-53037,122,53037
122-53041,122,53041
122-53067,122,53067
122-53104,122,53104
122-534,122,534
122-550,122,550
122-575,122,575
122-576,122,576
122-577,122,577
122-578,122,578
122-579,122,579
122-582,122,582
122-669,122,669
122-772,122,772
122-773,122,773
122-778,122,778
122-831,122,831
123-445,123,445
123-53025,123,53025
124-143,124,143
124-145,124,145
124-519,124,519
124-53024,124,53024
124-53025,124,53025
124-644,124,644
124-831,124,831
125-143,125,143
125-145,125,145
125-519,125,519
125-53024,125,53024
125-53025,125,53025
125-644,125,644
125-831,125,831
126-150,126,150
126-445,126,445
127-143,127,143
127-145,127,145
127-151,127,151
127-519,127,519
127-570,127,570
127-572,127,572
128-129,128,129
128-131,128,131
128-143,128,143
128-145,128,145
128-169,128,169
128-170,128,170
128-372,128,372
128-519,128,519
128-53219,128,53219
